rang ; couple ; corrélation
1 ; (produit_7,produit_8) ; 11
2 ; (produit_5,produit_8) ; 11
3 ; (produit_5,produit_6) ; 11
4 ; (produit_7,produit_5) ; 10
5 ; (produit_5,produit_3) ; 10
6 ; (produit_7,produit_6) ; 9
7 ; (produit_8,produit_9) ; 7
8 ; (produit_8,produit_6) ; 7
9 ; (produit_8,produit_1) ; 7
10 ; (produit_7,produit_9) ; 7
11 ; (produit_7,produit_3) ; 7
12 ; (produit_7,produit_1) ; 7
13 ; (produit_5,produit_9) ; 7
14 ; (produit_5,produit_10) ; 6
15 ; (produit_3,produit_6) ; 6
16 ; (produit_1,produit_9) ; 6
17 ; (produit_8,produit_3) ; 5
18 ; (produit_8,produit_10) ; 5
19 ; (produit_8,produit_0) ; 5
20 ; (produit_7,produit_0) ; 5
21 ; (produit_5,produit_1) ; 5
22 ; (produit_5,produit_0) ; 5
23 ; (produit_3,produit_9) ; 5
24 ; (produit_3,produit_10) ; 5
25 ; (produit_3,produit_1) ; 5
26 ; (produit_9,produit_10) ; 4
27 ; (produit_9,produit_0) ; 4
28 ; (produit_6,produit_9) ; 4
29 ; (produit_6,produit_1) ; 4
30 ; (produit_6,produit_0) ; 4
31 ; (produit_9,produit_4) ; 3
32 ; (produit_8,produit_4) ; 3
33 ; (produit_7,produit_4) ; 3
34 ; (produit_7,produit_10) ; 3
35 ; (produit_5,produit_4) ; 3
36 ; (produit_10,produit_0) ; 3
37 ; (produit_9,produit_2) ; 2
38 ; (produit_9,produit_11) ; 2
39 ; (produit_8,produit_2) ; 2
40 ; (produit_7,produit_2) ; 2
41 ; (produit_6,produit_4) ; 2
42 ; (produit_6,produit_11) ; 2
43 ; (produit_6,produit_10) ; 2
44 ; (produit_5,produit_11) ; 2
45 ; (produit_3,produit_4) ; 2
46 ; (produit_3,produit_0) ; 2
47 ; (produit_10,produit_4) ; 2
48 ; (produit_1,produit_4) ; 2
49 ; (produit_1,produit_11) ; 2
50 ; (produit_1,produit_10) ; 2
51 ; (produit_1,produit_0) ; 2
52 ; (produit_0,produit_4) ; 2
53 ; (produit_8,produit_11) ; 1
54 ; (produit_7,produit_11) ; 1
55 ; (produit_6,produit_2) ; 1
56 ; (produit_5,produit_2) ; 1
57 ; (produit_4,produit_2) ; 1
58 ; (produit_4,produit_11) ; 1
59 ; (produit_3,produit_2) ; 1
60 ; (produit_3,produit_11) ; 1
61 ; (produit_10,produit_2) ; 1
62 ; (produit_10,produit_11) ; 1
63 ; (produit_1,produit_2) ; 1
64 ; (produit_0,produit_2) ; 1
65 ; (produit_0,produit_11) ; 1
66 ; (produit_11,produit_2) ; 0
