rang ; couple ; corrélation
1 ; (produit_13,produit_64) ; 24
2 ; (produit_89,produit_88) ; 22
3 ; (produit_13,produit_63) ; 22
4 ; (produit_65,produit_39) ; 21
5 ; (produit_65,produit_37) ; 21
6 ; (produit_89,produit_65) ; 19
7 ; (produit_64,produit_63) ; 19
8 ; (produit_64,produit_39) ; 19
9 ; (produit_64,produit_38) ; 19
10 ; (produit_13,produit_87) ; 19
11 ; (produit_89,produit_87) ; 18
12 ; (produit_89,produit_63) ; 18
13 ; (produit_89,produit_62) ; 18
14 ; (produit_65,produit_90) ; 18
15 ; (produit_65,produit_38) ; 18
16 ; (produit_13,produit_89) ; 18
17 ; (produit_13,produit_88) ; 18
18 ; (produit_13,produit_65) ; 18
19 ; (produit_13,produit_39) ; 18
20 ; (produit_62,produit_37) ; 17
21 ; (produit_38,produit_90) ; 17
22 ; (produit_13,produit_90) ; 17
23 ; (produit_13,produit_37) ; 17
24 ; (produit_89,produit_61) ; 16
25 ; (produit_64,produit_65) ; 16
26 ; (produit_64,produit_62) ; 16
27 ; (produit_62,produit_14) ; 16
28 ; (produit_39,produit_37) ; 16
29 ; (produit_13,produit_62) ; 16
30 ; (produit_13,produit_38) ; 16
31 ; (produit_13,produit_14) ; 16
32 ; (produit_89,produit_90) ; 15
33 ; (produit_89,produit_86) ; 15
34 ; (produit_89,produit_14) ; 15
35 ; (produit_65,produit_87) ; 15
36 ; (produit_65,produit_16) ; 15
37 ; (produit_65,produit_14) ; 15
38 ; (produit_64,produit_37) ; 15
39 ; (produit_63,produit_37) ; 15
40 ; (produit_63,produit_12) ; 15
41 ; (produit_62,produit_65) ; 15
42 ; (produit_62,produit_61) ; 15
43 ; (produit_39,produit_87) ; 15
44 ; (produit_90,produit_40) ; 14
45 ; (produit_89,produit_39) ; 14
46 ; (produit_88,produit_87) ; 14
47 ; (produit_87,produit_37) ; 14
48 ; (produit_65,produit_15) ; 14
49 ; (produit_64,produit_90) ; 14
50 ; (produit_64,produit_89) ; 14
51 ; (produit_64,produit_88) ; 14
52 ; (produit_63,produit_88) ; 14
53 ; (produit_63,produit_65) ; 14
54 ; (produit_62,produit_90) ; 14
55 ; (produit_62,produit_86) ; 14
56 ; (produit_62,produit_40) ; 14
57 ; (produit_62,produit_15) ; 14
58 ; (produit_38,produit_87) ; 14
59 ; (produit_38,produit_39) ; 14
60 ; (produit_38,produit_16) ; 14
61 ; (produit_13,produit_60) ; 14
62 ; (produit_13,produit_11) ; 14
63 ; (produit_90,produit_37) ; 13
64 ; (produit_90,produit_15) ; 13
65 ; (produit_89,produit_40) ; 13
66 ; (produit_89,produit_37) ; 13
67 ; (produit_89,produit_11) ; 13
68 ; (produit_87,produit_90) ; 13
69 ; (produit_65,produit_11) ; 13
70 ; (produit_64,produit_15) ; 13
71 ; (produit_63,produit_39) ; 13
72 ; (produit_62,produit_91) ; 13
73 ; (produit_62,produit_88) ; 13
74 ; (produit_62,produit_41) ; 13
75 ; (produit_62,produit_39) ; 13
76 ; (produit_13,produit_16) ; 13
77 ; (produit_13,produit_12) ; 13
78 ; (produit_90,produit_61) ; 12
79 ; (produit_89,produit_60) ; 12
80 ; (produit_89,produit_38) ; 12
81 ; (produit_89,produit_12) ; 12
82 ; (produit_88,produit_37) ; 12
83 ; (produit_88,produit_14) ; 12
84 ; (produit_87,produit_36) ; 12
85 ; (produit_87,produit_14) ; 12
86 ; (produit_86,produit_40) ; 12
87 ; (produit_65,produit_91) ; 12
88 ; (produit_65,produit_88) ; 12
89 ; (produit_65,produit_41) ; 12
90 ; (produit_65,produit_36) ; 12
91 ; (produit_64,produit_41) ; 12
92 ; (produit_64,produit_16) ; 12
93 ; (produit_63,produit_90) ; 12
94 ; (produit_63,produit_86) ; 12
95 ; (produit_63,produit_60) ; 12
96 ; (produit_63,produit_36) ; 12
97 ; (produit_63,produit_14) ; 12
98 ; (produit_62,produit_63) ; 12
99 ; (produit_39,produit_36) ; 12
100 ; (produit_39,produit_11) ; 12
